"cultivo","cve_ent","entidad","cve_mun","municipio","productores","escenario_marginacion","escenario_precio","latitud","longitud","im","gm","imn"
"Frijol","20","Oaxaca","001","Abejones",61,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","21","Puebla","001","Acajete",178,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","24","San Luis Potosí","001","Ahualulco del Sonido 13",426,0.0,0.0,22.4001,-101.167,52.7831,"Medio",0.826511
"Frijol","20","Oaxaca","001","Abejones",95,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","11","Guanajuato","001","Abasolo",443,0.0,0.0,20.4509,-101.528,55.5403,"Bajo",0.869683
"Frijol","20","Oaxaca","001","Abejones",64,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","11","Guanajuato","001","Abasolo",270,0.0,0.0,20.4509,-101.528,55.5403,"Bajo",0.869683
"Frijol","15","México","001","Acambay de Ruíz Castañeda",370,0.0,0.0,19.9562,-99.844,52.775,"Medio",0.826384
"Frijol","24","San Luis Potosí","001","Ahualulco del Sonido 13",16,0.0,0.0,22.4001,-101.167,52.7831,"Medio",0.826511
"Frijol","20","Oaxaca","001","Abejones",229,672977.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","07","Chiapas","001","Acacoyagua",323,0.0,0.0,15.341,-92.6746,53.2908,"Medio",0.83446
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",71,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",37,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",257,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",19,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","24","San Luis Potosí","001","Ahualulco del Sonido 13",40,0.0,0.0,22.4001,-101.167,52.7831,"Medio",0.826511
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",683,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","15","México","001","Acambay de Ruíz Castañeda",100,0.0,0.0,19.9562,-99.844,52.775,"Medio",0.826384
"Frijol","20","Oaxaca","001","Abejones",74,0.0,0.0,17.4358,-96.6082,52.0519,"Alto",0.815061
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",49,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","13","Hidalgo","001","Acatlán",74,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","13","Hidalgo","001","Acatlán",249,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
