cultivo,cve_ent,entidad,cve_mun,municipio,productores,escenario_precio,escenario_marginacion,latitud,longitud,im,gm
Frijol,07,Chiapas,001,Acacoyagua,158,2.1,5.1,15.341,-92.6746,53.2908,Medio
Frijol,08,Chihuahua,001,Ahumada,1,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,15,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,53,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,2,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,29,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,893,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,1244,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,573,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,8,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,552,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
Frijol,08,Chihuahua,001,Ahumada,84,2.1,5.1,30.6177,-106.512,57.8792,Muy bajo
